ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,2022/07/18,
time,14:12:44,14:12:48,14:12:53,14:12:58,14:13:02,14:13:06,14:13:13,14:13:17,14:13:22,
625,25140.8,114.5,7.7,25189.9,6039.7,12276.2,25283.2,12224.1,5913.6,
626,24976.4,91.1,-7.7,25062.1,5989.8,12160.8,25125.8,12160.9,5860.8,
627,24855.0,92.9,-12.3,24938.0,5954.9,12081.7,25019.0,12095.0,5815.3,
628,24785.4,124.9,-4.1,24818.3,5937.8,12046.0,24973.0,12026.1,5778.6,
629,24692.8,141.0,8.1,24725.5,5926.8,12025.6,24900.8,11996.7,5752.3,
630,24559.1,128.6,27.4,24680.9,5926.8,12032.9,24781.3,12038.3,5745.0,
631,24426.6,110.7,32.2,24615.2,5907.1,12028.3,24665.5,12046.2,5742.1,
632,24298.0,77.7,-2.8,24491.6,5833.4,11991.4,24559.6,11961.6,5751.1,
633,24177.4,56.1,-26.1,24373.9,5774.2,11945.7,24444.0,11875.6,5751.6,
634,24092.8,86.0,3.6,24282.5,5780.5,11860.4,24285.3,11783.5,5713.7,
635,24008.8,115.8,29.3,24191.5,5780.4,11778.7,24130.2,11694.4,5676.3,
636,23931.0,145.2,19.5,24103.9,5723.9,11729.3,24006.9,11632.0,5643.7,
637,23846.5,172.4,9.7,24009.4,5668.7,11676.1,23881.9,11569.1,5609.9,
638,23549.9,129.5,-1.7,23697.7,5652.0,11502.3,23701.3,11491.9,5535.7,
639,23253.3,86.6,-13.0,23386.0,5635.2,11328.4,23520.7,11414.7,5461.4,
640,23009.7,94.9,12.2,23203.3,5539.2,11251.3,23272.8,11255.4,5411.4,
641,22768.0,105.1,38.8,23025.4,5440.3,11177.7,23022.5,11093.1,5362.3,
642,22537.6,66.7,25.2,22672.4,5380.2,11020.4,22752.1,10946.4,5302.3,
643,22308.3,23.2,7.4,22301.0,5324.2,10854.3,22479.5,10801.4,5241.1,
644,22013.5,22.3,46.6,21981.9,5243.4,10726.0,22190.2,10691.7,5171.8,
645,21707.0,28.9,95.9,21672.1,5158.3,10604.5,21898.1,10588.2,5101.1,
646,21307.9,39.1,78.0,21312.2,5079.3,10455.4,21488.0,10413.6,4978.5,
647,20886.1,50.2,43.8,20940.2,5001.8,10299.5,21049.1,10221.5,4843.3,
648,20550.7,55.0,26.9,20572.2,4932.5,10143.1,20662.7,10014.6,4803.7,
649,20242.2,57.9,15.4,20205.4,4865.8,9986.5,20292.6,9802.9,4794.1,
650,19823.9,30.5,-6.6,19822.4,4742.8,9759.3,19907.0,9635.7,4681.0,
651,19364.4,-8.2,-32.5,19433.4,4598.5,9505.6,19515.7,9485.2,4529.0,
652,18969.8,-58.6,-59.1,19026.2,4459.8,9273.6,19137.5,9260.5,4354.5,
653,18603.1,-114.1,-86.0,18611.2,4323.3,9051.0,18765.0,9003.9,4170.3,
654,18164.0,-103.5,-38.1,18151.2,4248.7,8870.0,18342.4,8795.9,4096.6,
655,17690.1,-61.4,45.6,17669.7,4203.6,8709.0,17895.8,8611.0,4075.8,
656,17347.9,-33.5,59.6,17289.2,4125.8,8539.1,17508.4,8457.3,4053.1,
657,17073.7,-13.0,37.7,16960.8,4031.0,8364.6,17151.6,8319.7,4029.6,
658,16673.4,-19.8,39.3,16606.2,3936.4,8144.4,16701.9,8110.7,3954.5,
659,16205.2,-41.3,53.5,16237.5,3841.8,7899.5,16202.4,7863.4,3851.7,
660,15789.3,-52.9,53.9,15832.1,3729.8,7714.7,15805.6,7643.5,3743.5,
661,15402.0,-59.0,46.8,15406.6,3608.1,7562.7,15465.0,7438.4,3632.3,
662,15041.0,-34.6,59.6,15090.2,3546.3,7423.2,15158.0,7272.9,3574.8,
663,14694.2,6.4,83.2,14832.7,3516.9,7290.3,14869.2,7128.6,3546.3,
664,14373.8,-10.5,53.8,14505.6,3419.2,7117.2,14566.0,6982.1,3447.1,
665,14067.1,-57.5,-3.2,14142.4,3286.1,6923.3,14255.2,6834.4,3311.3,
666,13796.9,-71.7,-5.0,13866.1,3208.5,6785.8,13985.2,6696.7,3203.9,
667,13544.4,-70.1,19.8,13631.8,3157.5,6675.7,13734.8,6563.7,3110.1,
668,13337.6,-65.0,40.5,13407.2,3143.5,6619.6,13493.4,6477.2,3094.8,
669,13150.8,-58.3,59.5,13186.7,3145.6,6587.1,13256.0,6410.9,3113.7,
670,13002.3,-66.7,69.4,12966.9,3130.9,6529.8,13071.4,6336.0,3040.9,
671,12868.3,-80.8,75.9,12747.3,3109.7,6463.1,12907.0,6257.8,2933.1,
672,12699.7,-66.3,75.9,12567.8,3057.2,6307.1,12726.5,6178.8,2963.4,
673,12520.2,-42.7,73.9,12401.1,2994.8,6122.9,12541.0,6099.6,3037.5,
674,12269.6,-78.0,48.0,12217.4,2935.1,6033.0,12335.4,6000.0,2942.3,
675,12001.1,-128.0,16.1,12029.3,2876.0,5966.7,12124.9,5895.3,2804.6,
676,11796.1,-95.2,28.2,11828.6,2810.9,5840.9,11941.1,5797.5,2747.9,
677,11602.5,-47.4,48.1,11625.6,2744.8,5704.5,11762.2,5700.9,2705.7,
678,11421.1,-37.7,45.3,11475.2,2679.1,5561.5,11541.4,5589.1,2644.9,
679,11241.0,-32.1,40.1,11330.4,2613.4,5417.7,11316.0,5475.7,2582.0,
680,11012.9,4.7,53.4,11023.0,2606.0,5453.8,11095.2,5422.9,2579.5,
681,10782.9,40.5,66.7,10710.7,2600.1,5491.2,10873.7,5368.8,2578.1,
682,10554.9,1.4,55.3,10461.1,2567.7,5323.3,10621.1,5188.1,2533.6,
683,10324.4,-35.3,43.8,10218.6,2532.4,5157.5,10368.0,5015.3,2483.9,
684,10071.7,-50.6,31.2,10039.7,2470.9,5009.7,10110.4,4912.2,2388.5,
685,9844.7,-56.4,25.5,9857.1,2408.9,4866.3,9880.6,4808.7,2307.2,
686,9734.9,-18.5,51.7,9657.2,2344.7,4742.6,9777.6,4703.1,2290.3,
687,9581.4,9.3,71.4,9467.7,2277.9,4640.0,9649.0,4613.2,2258.7,
688,9307.5,9.2,73.3,9306.6,2204.2,4595.9,9449.4,4566.5,2186.7,
689,9043.4,21.5,73.4,9122.6,2142.1,4525.6,9239.9,4494.8,2117.5,
690,8796.7,56.0,70.4,8897.5,2100.8,4408.7,9012.7,4378.2,2053.4,
691,8607.7,63.3,59.7,8695.3,2058.1,4310.1,8784.1,4278.6,2000.2,
692,8487.3,38.2,39.9,8520.4,2013.8,4233.4,8554.1,4199.3,1959.8,
693,8290.5,14.1,37.0,8318.1,1980.5,4145.1,8364.5,4121.7,1934.5,
694,8034.2,-9.3,47.3,8094.5,1955.9,4047.6,8206.4,4045.6,1921.0,
695,7849.5,2.0,38.7,7938.4,1919.5,3891.6,8057.4,3963.6,1872.1,
696,7699.7,30.3,21.0,7814.9,1877.4,3707.3,7912.7,3878.9,1806.0,
697,7498.6,11.6,-14.4,7572.1,1832.0,3620.6,7644.2,3727.3,1778.1,
698,7283.9,-19.5,-54.4,7297.7,1785.8,3559.7,7343.0,3558.0,1760.2,
699,7075.7,-32.9,-38.2,7076.1,1705.1,3482.8,7182.9,3461.8,1685.8,
700,6869.5,-39.6,-14.3,6860.1,1625.5,3406.2,7034.4,3374.2,1610.0,
701,6695.6,58.0,60.3,6657.4,1632.9,3365.2,6856.6,3323.7,1613.5,
702,6516.1,137.3,113.4,6469.2,1647.0,3307.8,6663.3,3259.2,1605.4,
703,6312.2,135.1,70.7,6345.5,1690.4,3177.6,6400.9,3131.7,1545.2,
704,6121.4,131.6,42.2,6188.1,1678.8,3052.3,6172.2,3022.3,1484.2,
705,5957.5,125.0,43.2,5961.4,1554.0,2937.1,6012.6,2950.2,1421.5,
706,5749.7,117.1,36.5,5749.1,1449.6,2822.2,5828.3,2870.2,1342.9,
707,5493.7,107.6,21.4,5552.6,1367.8,2707.7,5616.9,2781.5,1246.8,
708,5255.0,79.0,1.0,5377.9,1306.0,2608.5,5435.5,2659.7,1228.9,
709,5026.3,39.5,-22.5,5215.8,1255.8,2518.2,5271.5,2518.8,1256.2,
710,4885.9,63.2,-38.4,5013.3,1241.4,2414.2,5070.4,2441.4,1199.7,
711,4768.0,103.0,-52.3,4800.5,1236.2,2306.7,4859.9,2380.3,1121.7,
712,4563.9,72.2,-27.7,4631.3,1143.8,2220.0,4729.5,2298.6,1013.1,
713,4362.2,36.6,-8.3,4462.2,1063.7,2139.6,4594.9,2218.8,918.7,
714,4193.3,-13.5,-28.6,4284.4,1076.6,2092.5,4418.7,2153.9,916.5,
715,4056.5,-16.3,-20.5,4126.2,1091.8,2077.8,4261.5,2083.8,902.2,
716,3986.7,79.5,46.9,4009.3,1111.7,2130.5,4144.3,2002.7,862.7,
717,3843.2,93.6,37.1,3835.0,1055.1,2023.3,3970.8,1911.4,830.4,
718,3629.8,30.0,-46.0,3606.2,925.7,1763.8,3743.9,1810.5,804.8,
719,3500.8,36.1,-36.5,3531.4,893.8,1695.0,3597.6,1753.0,786.5,
720,3406.7,70.9,11.4,3520.3,902.2,1704.9,3484.8,1713.5,771.2,
721,3271.7,-4.8,-56.8,3346.7,804.6,1597.1,3327.5,1646.3,726.4,
722,3134.7,-77.3,-118.0,3161.4,703.2,1485.6,3170.6,1571.4,675.1,
723,3014.7,-42.5,-38.9,3010.5,653.3,1434.9,3050.8,1459.4,596.0,
724,2913.9,5.8,19.8,2876.9,659.8,1404.5,2950.0,1388.4,582.1,
725,2851.7,81.1,37.4,2778.4,779.8,1414.8,2887.7,1400.2,699.9,
726,2777.8,94.4,18.9,2699.2,762.3,1381.1,2794.5,1360.7,734.9,
727,2694.4,57.5,-29.0,2635.5,633.5,1311.7,2676.2,1279.6,702.9,
728,2517.0,-14.6,-52.7,2511.0,599.8,1207.3,2532.5,1222.3,572.5,
729,2314.0,-94.8,-69.6,2369.1,592.5,1094.5,2382.9,1171.4,416.9,
730,2184.2,-33.4,-90.0,2212.1,548.5,1093.5,2322.2,1097.3,451.0,
731,2099.3,12.0,-105.8,2103.0,521.8,1082.5,2262.8,1038.3,473.8,
732,2146.9,10.5,-108.1,2135.2,545.6,1041.9,2207.1,1023.6,463.6,
733,2141.5,3.3,-73.6,2121.7,535.4,1011.2,2113.6,1018.2,445.2,
734,2083.1,-9.7,-2.3,2062.7,491.0,990.5,1982.4,1022.0,418.8,
735,2031.9,53.5,45.7,2055.8,551.1,1003.6,1987.3,1038.8,487.6,
736,1982.7,140.3,84.9,2064.9,643.1,1026.6,2035.4,1058.5,585.2,
737,1890.3,100.4,26.0,1974.7,531.4,953.4,1964.5,968.4,478.8,
738,1796.9,54.3,-26.6,1895.6,435.3,886.9,1884.6,889.3,376.7,
739,1701.4,-7.8,-63.0,1845.4,379.6,838.1,1781.5,839.2,286.0,
740,1680.1,-19.3,-60.6,1785.0,374.8,832.5,1757.2,820.5,299.2,
741,1719.7,10.8,-26.2,1716.3,411.7,862.2,1797.5,827.7,397.8,
742,1713.1,32.1,-31.7,1731.3,449.0,865.4,1784.3,787.0,411.4,
743,1692.0,45.0,-53.8,1754.5,475.1,857.7,1755.9,734.4,403.6,
744,1632.1,5.0,-142.6,1704.8,413.1,806.5,1695.3,667.2,365.5,
745,1558.0,-53.3,-182.1,1611.3,325.3,749.9,1613.1,612.3,323.4,
746,1462.9,-138.4,-148.9,1453.4,199.4,685.2,1499.1,575.5,275.3,
747,1484.3,-68.2,-106.8,1499.6,245.2,718.6,1544.9,637.8,266.4,
748,1554.7,67.1,-61.1,1632.0,363.5,793.1,1658.0,741.8,274.4,
749,1540.1,6.1,-63.4,1609.4,380.8,750.0,1634.1,767.9,340.5,
750,1546.5,2.8,-48.5,1602.4,397.6,711.0,1609.9,795.8,402.6,
751,1598.6,124.8,3.6,1628.8,413.2,681.1,1584.7,827.5,456.0,
752,1571.0,142.5,0.4,1573.2,404.9,629.3,1538.6,836.8,417.8,
753,1496.9,99.5,-34.9,1469.9,382.5,564.9,1480.4,833.1,326.3,
754,1451.7,57.0,-57.9,1457.7,397.5,679.4,1525.4,782.2,249.1,
755,1409.5,43.2,-52.8,1477.8,429.4,769.9,1525.7,772.0,244.7,
756,1371.8,101.9,21.9,1568.7,499.5,778.4,1401.0,869.9,422.1,
757,1326.2,45.4,36.5,1437.9,475.6,705.9,1322.8,787.6,419.9,
758,1275.8,-81.8,14.1,1170.8,394.0,583.7,1272.9,594.6,307.2,
759,1272.4,-4.3,-6.3,1256.9,443.4,581.7,1414.8,664.3,236.7,
760,1261.1,44.4,-17.4,1293.5,457.3,562.6,1484.2,673.3,208.9,
761,1228.0,10.0,-7.8,1187.7,379.8,494.5,1373.9,522.7,272.5,
762,1151.3,43.1,-18.9,1155.8,387.3,471.3,1341.0,580.5,319.1,
763,1055.6,109.3,-39.0,1162.1,435.9,473.7,1347.2,738.6,354.6,
764,1094.0,125.8,-1.0,1193.3,395.1,592.6,1351.3,681.8,289.4,
765,1096.8,106.2,14.2,1175.0,361.0,679.5,1331.8,608.7,243.1,
766,1044.2,30.0,-6.0,1079.3,337.5,716.8,1275.5,510.0,226.3,
767,992.9,-8.0,-78.7,988.4,295.9,559.4,1170.7,441.0,233.0,
768,951.2,-22.0,-142.1,937.3,272.0,381.9,1064.0,399.8,236.7,
769,964.7,36.0,-52.6,1116.0,388.0,444.9,1036.3,469.3,178.3,
770,967.7,59.9,-1.1,1119.6,381.5,472.0,1036.9,465.1,178.6,
771,961.2,53.5,16.6,966.9,265.6,467.2,1062.6,395.2,231.5,
772,900.8,67.9,36.1,1004.4,337.6,427.6,1034.0,500.5,103.8,
773,839.5,63.5,25.2,1025.3,387.5,419.0,1006.6,574.3,45.5,
774,786.3,14.9,-51.3,974.7,354.8,484.0,991.8,547.9,169.9,
775,803.8,21.4,3.3,953.3,348.1,476.6,944.5,486.1,212.3,
776,848.3,62.5,86.3,940.3,346.2,447.7,909.9,431.1,235.7,
777,890.7,192.0,22.8,908.7,311.2,462.5,1042.7,510.7,342.7,
778,918.7,238.6,24.8,943.0,377.1,484.2,1094.8,598.6,378.4,
779,934.7,216.6,81.0,1031.8,526.3,511.6,1080.3,693.3,355.1,
780,777.2,182.3,41.5,841.7,395.0,415.5,1025.3,509.8,203.8,
781,667.1,138.1,-14.6,734.7,279.2,298.7,924.9,377.2,89.3,
782,636.7,79.7,-91.4,766.3,200.0,156.5,757.7,334.4,36.4,
783,525.5,31.0,-166.4,614.3,206.7,195.1,778.2,334.2,59.4,
784,452.6,3.1,-177.4,520.0,213.0,238.5,828.7,355.4,95.8,
785,524.7,25.6,-19.0,676.6,172.2,198.4,858.9,410.8,126.9,
786,674.9,106.1,85.7,766.3,285.8,312.6,929.7,460.1,181.8,
787,805.4,189.6,158.0,794.7,409.6,474.7,990.3,495.8,237.7,
788,695.7,179.0,174.0,654.7,293.4,578.8,925.9,476.4,253.4,
789,639.3,104.2,138.5,598.8,279.0,528.2,862.8,429.7,246.7,
790,621.7,8.2,71.9,604.9,323.0,405.1,803.1,386.7,227.7,
791,676.6,67.3,-3.5,733.1,355.8,451.3,768.6,528.5,214.8,
792,696.1,74.2,-4.3,770.0,355.7,436.5,792.8,502.8,230.3,
793,683.7,43.7,51.2,735.7,331.0,377.5,854.8,352.7,264.2,
794,561.3,74.9,87.5,673.8,323.9,378.0,754.9,297.3,222.4,
795,530.5,73.5,116.7,668.3,339.5,385.9,743.9,316.4,178.8,
796,583.2,43.1,139.7,714.1,374.4,399.0,814.0,403.6,134.0,
797,674.7,67.2,179.8,770.9,308.3,291.2,931.3,541.1,113.8,
798,727.0,81.0,173.4,801.1,300.7,286.3,974.8,567.0,105.1,
799,740.2,84.0,121.3,804.5,348.3,380.9,947.2,484.5,108.3,
800,619.7,-11.2,7.3,675.9,162.3,368.4,1002.9,405.5,181.7,
801,515.5,-107.0,-67.4,584.1,93.1,360.1,957.2,311.6,154.5,
802,432.9,-197.0,-98.4,534.6,137.9,356.0,821.9,211.8,38.1,
803,590.9,-30.7,119.8,769.8,312.0,363.5,959.2,445.7,175.8,
804,774.0,63.6,152.3,907.5,414.9,459.4,1144.9,549.1,251.2,
805,967.6,93.8,37.1,964.9,460.4,617.8,1358.1,555.5,276.0,
806,1003.7,75.8,59.4,1053.0,546.9,596.8,1377.4,755.5,333.0,
807,1171.5,76.5,118.6,1166.5,537.0,614.1,1549.0,868.1,302.2,
808,1426.1,85.0,180.1,1310.5,463.9,655.3,1787.0,907.0,246.1,
809,1659.0,59.2,83.6,1544.7,410.1,680.2,1767.7,850.6,426.7,
810,1694.2,122.8,-9.9,1487.3,442.8,848.0,1886.9,821.0,338.5,
811,1713.3,209.4,-88.0,1426.2,556.4,1031.5,2072.2,830.1,246.2,
812,2033.2,217.2,-115.2,1883.1,809.2,1011.5,2247.2,932.5,628.7,
813,2156.3,246.7,33.3,2284.4,864.0,1063.7,2363.0,1117.6,771.5,
814,2220.8,186.6,152.2,2518.8,800.2,1137.2,2453.0,1273.2,762.4,
815,2288.9,-75.5,96.0,2438.4,614.6,1209.3,2527.2,1313.5,588.4,
816,2513.7,12.7,42.9,2647.8,691.5,1261.4,2686.6,1356.1,576.9,
817,2769.7,64.3,-49.8,2884.8,767.8,1353.5,2941.0,1457.7,512.7,
818,3033.7,20.7,-183.7,3105.9,807.6,1499.1,3293.5,1628.0,366.7,
819,3113.5,104.0,-60.4,3193.7,1026.6,1718.2,3531.3,1717.0,479.4,
820,3252.6,187.1,18.8,3350.1,1220.2,1792.7,3664.8,1811.8,693.0,
821,3379.7,232.3,43.0,3502.8,1318.6,1761.7,3740.1,1882.2,913.6,
822,3292.9,117.2,-44.5,3450.7,1083.1,1680.7,3856.0,1833.6,885.2,
823,3385.9,66.4,50.6,3610.3,989.2,1864.8,3904.9,1897.1,970.6,
824,3442.4,-9.8,21.2,3711.0,954.3,1906.0,3900.4,1861.8,874.6,
825,3354.8,-157.9,-299.6,3615.4,951.2,1586.5,3838.7,1610.3,425.1,
826,3130.0,-167.8,-391.0,3479.3,671.7,1397.7,3544.7,1473.5,396.7,
827,3298.2,-19.1,-231.4,3622.3,800.0,1441.1,3626.0,1590.1,687.2,
828,3640.4,169.3,25.7,3844.8,1119.4,1648.8,3883.5,1842.8,1068.2,
829,3529.5,62.2,-41.7,3566.6,1003.1,1858.5,3742.3,1916.3,908.3,
830,3214.1,-102.7,-298.8,3123.1,773.1,1689.4,3525.3,1648.5,581.4,
831,3067.3,-120.5,-325.2,2989.6,683.6,1593.8,3398.3,1535.6,443.8,
832,3178.4,52.3,-14.4,3275.5,792.3,1689.8,3398.2,1701.4,593.7,
833,2888.4,-86.8,-64.6,2967.6,576.9,1463.0,3174.3,1412.6,557.9,
834,2728.6,-212.9,-134.6,2955.3,555.7,1258.3,3073.8,1311.9,553.2,
835,2661.3,-196.6,-98.7,2966.3,665.3,1144.3,2960.6,1352.4,569.2,
836,2664.5,97.9,171.1,2756.4,865.3,1195.1,2709.6,1509.7,599.3,
837,2584.0,7.7,334.1,2749.4,684.2,1196.6,2605.1,1402.3,679.7,
838,2323.8,-35.4,149.1,2512.0,553.4,1224.1,2505.3,1340.1,686.1,
839,2142.8,1.7,-67.9,2246.7,555.1,1194.8,2433.0,1301.9,669.6,
840,2467.5,157.0,199.3,2297.8,811.0,967.7,2434.3,1240.9,716.9,
841,2469.7,146.8,120.0,2377.7,776.3,1047.9,2512.2,1142.1,734.2,
842,2294.7,38.6,79.7,2220.3,695.7,1306.2,2474.0,1115.7,682.1,
843,2074.7,-69.5,38.2,1961.2,567.7,1418.2,2342.5,1116.3,574.0,
844,2028.6,-7.6,-137.3,1885.8,350.1,802.4,2185.7,1045.3,438.0,
845,2190.2,-25.8,-12.2,2488.2,611.3,1419.4,2378.8,1216.7,519.5,
846,2161.6,-77.4,-149.1,2552.1,568.8,1225.1,2323.5,879.2,324.4,
847,2254.8,-118.8,-396.7,2370.0,388.6,830.3,2338.8,553.1,162.0,
848,2976.2,-91.1,-462.8,2522.4,411.2,1384.1,2966.6,1096.3,548.1,
849,3280.8,-28.1,-207.0,3277.1,862.9,1747.9,3553.6,2013.2,597.1,
850,3054.3,-229.6,-612.1,3366.9,714.4,1199.4,3378.3,1637.5,400.3,
