414,199.0,84.3,49.4,377.0,279.5,87.9,86.8,413.6,312.4,82.3,61.2,443.2,
415,196.0,74.7,50.1,408.5,293.5,84.7,67.0,426.7,335.2,87.5,59.2,470.3,
416,243.5,96.6,108.8,454.3,346.5,95.7,112.9,494.4,386.9,103.2,83.3,532.4,
417,290.9,118.4,167.4,500.1,399.5,106.7,158.8,562.0,438.5,118.9,107.4,594.4,
418,331.8,130.5,175.0,517.1,437.7,115.7,163.3,633.5,473.1,107.4,108.6,639.7,
419,368.2,135.9,147.6,514.3,465.8,123.3,139.3,707.5,495.7,77.0,93.8,673.3,
420,405.1,140.6,120.5,513.6,495.2,130.8,115.4,781.0,520.2,47.8,79.4,708.0,
421,462.4,118.5,108.3,601.2,579.4,131.1,93.9,833.7,614.9,63.0,79.4,787.6,
422,519.8,96.4,96.1,688.9,663.7,131.5,72.5,886.4,709.7,78.3,79.4,867.2,
423,581.1,94.9,112.6,788.3,764.4,128.0,69.8,970.9,825.1,99.0,85.6,979.5,
424,647.1,117.4,162.6,901.7,884.5,120.0,89.0,1092.8,964.6,126.0,99.3,1130.3,
425,713.1,139.8,212.6,1015.1,1004.5,112.0,108.1,1214.6,1104.1,153.0,113.0,1281.0,
426,846.9,150.2,191.9,1150.2,1220.3,134.8,128.5,1455.9,1348.3,136.1,105.2,1505.2,
427,988.1,159.2,163.5,1287.6,1446.4,160.8,149.1,1710.2,1604.0,114.5,95.0,1737.4,
428,1168.9,159.2,146.7,1456.0,1698.1,174.0,162.4,1983.0,1882.0,100.9,94.4,2004.5,
429,1424.1,142.1,151.8,1682.5,1997.8,162.6,162.0,2290.4,2202.2,102.6,111.9,2337.4,
430,1679.4,124.9,157.0,1909.0,2297.5,151.3,161.6,2597.8,2522.3,104.3,129.3,2670.3,
431,2014.1,126.9,184.8,2288.0,2760.9,156.3,171.0,3065.6,3034.5,123.2,156.0,3194.2,
432,2369.3,133.8,218.4,2706.0,3266.2,165.5,183.0,3574.3,3595.8,146.6,185.0,3766.9,
433,2790.7,138.7,243.1,3172.4,3860.7,166.4,193.1,4174.1,4251.9,158.0,201.4,4438.1,
434,3411.3,137.9,241.1,3784.2,4722.9,142.7,197.7,5046.8,5192.4,133.7,179.8,5404.3,
435,4031.8,137.1,239.1,4395.9,5585.1,118.9,202.3,5919.6,6132.9,109.4,158.2,6370.5,
436,4824.6,144.1,245.8,5196.7,6698.6,130.1,222.9,7023.7,7305.9,98.1,166.4,7594.6,
437,5688.3,154.3,256.0,6075.5,7915.7,155.6,250.1,8223.4,8574.8,92.0,186.8,8925.1,
438,6597.6,163.9,265.3,7005.5,9194.2,177.4,270.2,9500.2,9928.2,92.4,203.0,10322.2,
439,7728.7,170.3,269.8,8185.0,10771.5,181.2,255.8,11152.6,11692.9,124.3,198.1,12043.3,
440,8859.7,176.6,274.3,9364.5,12348.9,184.9,241.3,12804.9,13457.5,156.1,193.3,13764.5,
441,10351.9,183.8,301.4,10864.3,14382.1,192.9,255.0,14880.1,15674.9,166.7,202.1,15987.4,
442,12049.9,191.6,341.5,12546.4,16674.8,203.5,284.7,17195.9,18149.9,165.3,218.7,18496.0,
