wl,wo,w
652,42476.0,38241.1
653,42554.3,39609.3
654,42480.8,41063.1
655,42334.6,42557.9
656,42307.8,44147.6
657,42342.6,45786.1
658,42158.6,47231.0
659,41856.9,48571.7
660,41311.1,49710.8
661,40632.0,50739.6
662,39836.7,51533.0
663,38978.8,52199.4
664,37989.4,52618.9
665,36931.9,52910.5
666,35756.6,52910.9
667,34524.5,52770.7
668,33331.6,52585.1
669,32155.8,52379.8
670,30940.2,51874.3
671,29709.4,51254.6
672,28587.4,50632.2
673,27500.1,50009.0
674,26476.5,49330.9
675,25468.8,48639.2
676,24623.8,47998.8
677,23808.0,47367.8
678,23123.4,46891.2
679,22453.2,46431.5
680,21715.3,45571.6
681,20976.1,44699.2
682,20291.6,43955.6
683,19632.1,43235.3
684,19196.9,42723.2
685,18745.0,42205.2
686,18217.0,41659.9
687,17706.6,41063.3
688,17244.4,40325.4
689,16790.1,39609.1
690,16349.6,38931.8
691,15925.4,38303.7
692,15520.4,37734.3
693,15124.2,36939.2
694,14734.8,35968.0
695,14325.4,35303.5
696,13906.3,34787.8
697,13578.6,34072.3
698,13275.0,33304.1
699,12827.8,32586.7
700,12378.2,31871.9
701,12154.6,31113.7
702,11921.9,30375.6
703,11648.2,29727.4
704,11379.3,29065.2
705,11120.7,28374.2
706,10770.8,27611.6
707,10320.6,26770.4
708,9989.8,26094.5
709,9728.0,25514.1
710,9506.2,24892.9
711,9294.6,24261.1
712,9064.1,23697.7
713,8836.3,23138.4
714,8629.3,22588.8
715,8442.9,22083.9
716,8299.4,21672.7
717,8072.3,21094.8
718,7765.5,20358.6
719,7561.6,19835.4
720,7400.3,19400.3
721,7133.3,18905.8
722,6875.2,18396.9
723,6763.7,17823.6
724,6636.0,17368.3
725,6475.6,17150.6
726,6292.5,16788.1
727,6091.0,16308.3
728,5868.0,15827.3
729,5640.2,15346.8
730,5503.4,14931.2
731,5375.3,14502.1
732,5273.0,14033.2
733,5148.4,13667.9
734,5001.7,13406.4
735,4940.4,13089.6
736,4905.0,12755.3
737,4683.2,12474.9
738,4481.3,12156.6
739,4330.7,11739.3
740,4236.0,11399.3
741,4187.0,11122.5
742,4139.6,10891.6
743,4075.6,10653.4
744,3877.6,10283.4
745,3694.9,9955.0
746,3535.0,9688.3
747,3478.5,9482.2
748,3465.8,9301.7
749,3421.0,9087.8
750,3353.0,8900.5
751,3234.8,8770.7
752,3150.6,8529.3
753,3086.2,8223.0
754,2998.9,8055.8
755,2909.9,7875.0
756,2819.4,7643.5
757,2676.2,7350.0
758,2500.5,7018.3
759,2562.9,6948.2
760,2557.4,6836.3
761,2378.8,6607.6
762,2325.0,6446.1
763,2335.1,6316.6
764,2363.6,6095.3
765,2330.0,5889.1
766,2199.6,5706.7
767,2071.4,5587.2
768,1962.7,5470.0
769,1966.6,5248.9
770,1928.6,5037.6
771,1853.4,4835.2
772,1822.4,4728.3
773,1783.8,4666.1
774,1720.9,4682.1
775,1629.4,4512.4
776,1561.2,4293.8
777,1720.5,4224.6
778,1727.2,4237.4
779,1607.9,4317.9
780,1521.1,3998.8
