ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,2022/06/25,
time,17:33:54,17:34:01,17:34:04,17:34:08,17:34:11,17:34:15,17:34:19,17:34:23,17:34:26,17:34:30,17:34:34,17:34:38,17:34:44,17:34:48,17:34:52,17:34:56,17:35:01,17:35:05,17:35:27,17:35:39,
372,108.1,127.6,192.5,156.4,158.5,88.1,128.0,143.9,142.4,138.2,101.0,111.5,95.1,156.6,153.5,111.2,163.8,156.6,226.4,300.2,
373,106.4,141.9,220.6,133.3,151.5,92.2,160.2,152.9,148.3,127.8,106.7,116.5,92.9,153.2,147.8,102.9,175.1,118.0,241.8,302.2,
374,108.5,130.3,221.1,136.6,161.6,90.8,151.7,151.7,157.0,128.4,102.1,120.5,101.4,140.2,142.3,95.4,160.4,122.3,241.5,291.3,
375,111.4,114.3,216.9,144.4,174.6,88.5,136.2,148.7,166.0,131.0,95.8,124.4,111.6,125.6,136.7,88.1,141.3,133.9,238.4,278.2,
376,112.6,100.3,205.9,150.0,185.4,87.0,122.0,142.5,170.4,130.1,91.1,127.1,118.7,109.7,132.8,79.5,124.3,143.4,233.2,264.8,
377,107.8,92.9,170.6,147.7,188.6,88.5,112.4,125.1,157.9,117.3,92.3,126.0,114.5,89.7,134.7,66.7,114.6,145.8,220.2,250.5,
378,103.0,85.6,135.3,145.4,191.9,89.9,102.8,107.6,145.3,104.5,93.4,124.9,110.3,69.6,136.6,53.9,105.0,148.1,207.2,236.3,
379,100.4,83.1,121.5,142.2,187.1,92.0,97.7,92.4,142.2,104.0,93.9,121.7,117.5,78.7,123.6,55.8,105.6,154.7,208.0,235.6,
380,99.4,84.0,122.9,138.5,176.7,94.4,95.7,78.8,145.5,112.2,93.9,117.0,132.6,107.9,100.2,67.8,113.4,164.3,218.4,244.4,
381,98.4,84.8,124.2,134.8,166.3,96.9,93.8,65.2,148.9,120.3,93.9,112.4,147.7,137.2,76.8,79.8,121.2,173.9,228.8,253.2,
382,105.7,72.2,132.4,132.0,155.7,98.3,101.0,68.6,135.8,125.0,76.6,102.0,135.1,120.2,83.7,91.6,119.7,158.6,208.5,246.3,
383,113.3,59.1,140.7,129.3,145.0,99.7,108.7,72.7,122.1,129.5,58.7,91.5,121.4,101.5,91.9,103.4,117.7,142.4,187.1,238.7,
384,115.3,55.9,142.9,129.8,142.9,97.0,110.8,76.2,110.4,123.3,51.1,79.6,114.1,87.5,96.4,105.1,118.6,129.7,177.1,240.3,
385,106.4,71.8,132.7,136.9,157.6,86.1,102.2,78.8,102.8,95.9,63.7,65.1,119.4,82.7,93.9,87.2,124.9,124.0,189.3,260.0,
