ColorCompass Spectrum data( MFA Model)
device,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,18F00145,
date,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,2022/07/09,
time,23:46:38,23:46:40,23:46:45,23:46:50,23:46:55,23:47:02,23:47:06,23:47:11,23:47:16,23:47:21,23:47:31,23:47:34,23:47:39,23:47:44,23:47:49,23:48:01,23:48:04,23:48:09,23:48:14,23:48:19,
368,-68.3,-31.9,-35.0,-39.2,-39.5,-105.3,-61.4,-51.1,-33.4,37.7,-42.8,-38.5,-53.7,4.3,-14.5,-72.7,-17.7,48.9,109.4,124.4,
369,-64.5,-38.7,-36.1,-30.9,-23.6,-80.2,-61.2,-48.2,-30.2,29.2,-43.6,-30.7,-52.9,-9.9,-18.6,-72.2,-13.9,35.1,97.0,131.8,
370,-60.8,-45.5,-37.2,-22.5,-7.7,-55.0,-61.0,-45.3,-27.0,20.8,-44.4,-22.9,-52.2,-24.1,-22.7,-71.8,-10.0,21.4,84.6,139.2,
371,-51.2,-51.7,-37.8,-17.2,-5.5,-44.6,-50.3,-51.4,-24.9,22.0,-47.7,-30.0,-52.1,-28.7,-22.0,-66.1,-5.4,16.6,75.3,134.6,
372,-35.6,-57.3,-38.0,-15.0,-17.5,-49.4,-28.7,-66.9,-24.1,33.3,-53.7,-52.5,-52.8,-23.5,-16.2,-55.0,-0.2,21.0,69.0,117.6,
373,-20.1,-62.9,-38.1,-12.8,-29.4,-54.1,-7.1,-82.3,-23.3,44.5,-59.7,-75.0,-53.4,-18.4,-10.5,-43.8,5.1,25.4,62.8,100.6,
374,-23.1,-49.3,-32.9,2.6,-8.6,-50.9,-3.0,-62.3,-24.8,46.2,-49.7,-63.7,-43.0,-6.0,-2.3,-25.1,6.4,32.6,67.2,113.0,
375,-29.4,-32.4,-26.8,20.2,17.7,-46.3,-1.9,-36.3,-26.8,46.2,-37.1,-46.5,-30.7,7.6,6.4,-5.0,7.0,40.4,73.4,130.4,
376,-32.6,-18.6,-23.6,26.2,35.9,-43.3,-3.6,-16.2,-27.0,41.8,-30.2,-33.2,-21.5,12.8,14.4,5.2,9.4,47.2,78.9,144.8,
377,-25.0,-15.8,-30.8,-8.9,25.0,-45.7,-15.5,-17.4,-21.0,21.6,-44.0,-33.2,-23.3,-11.4,20.2,-19.2,17.9,50.6,82.1,149.0,
