0,0,0,0
16,14,14,14
32,28,28,28
48,44,44,44
64,60,60,60
80,74,74,74
96,91,91,91
112,107,107,107
128,124,124,124
144,137,137,137
160,154,154,154
176,169,169,169
192,185,185,185
208,200,200,200
224,214,214,214
240,233,233,233
256,247,247,247
272,264,264,264
288,278,278,278
304,294,294,294
320,313,313,313
336,326,326,326
352,346,342,343
368,354,357,356
384,371,373,372
400,389,389,389
416,405,405,405
432,420,420,420
448,435,435,435
464,451,451,451
480,466,466,466
496,484,484,484
512,498,498,498
528,517,517,517
544,530,530,530
560,544,544,544
576,563,563,563
592,577,577,575
608,594,595,591
624,610,610,607
640,628,628,629
656,641,643,641
672,656,656,659
688,671,671,669
704,689,689,684
720,701,702,699
736,722,721,721
752,737,734,734
768,750,752,749
784,766,768,767
800,778,787,777
816,798,802,796
832,814,816,813
848,833,834,826
864,845,848,845
880,860,867,858
896,881,881,875
912,898,898,896
928,912,912,910
944,924,927,924
960,942,943,938
976,953,961,957
992,975,978,975
1008,990,990,990
1023,1006,1006,1007
