0,154,154,154
16,154,154,154
32,163,163,163
48,176,176,176
64,186,186,186
80,198,198,198
96,208,208,208
112,219,219,219
128,228,228,228
144,242,242,242
160,251,251,251
176,265,265,265
192,275,275,275
208,289,289,289
224,299,299,299
240,315,315,315
256,326,326,326
272,339,339,339
288,354,354,354
304,363,363,363
320,377,377,377
336,391,391,391
352,405,405,405
368,414,414,414
384,430,430,430
400,442,442,442
416,456,456,456
432,470,470,470
448,486,486,486
464,498,498,498
480,514,514,514
496,526,526,526
512,540,540,540
528,554,554,554
544,571,571,571
560,582,582,582
576,594,594,594
592,610,610,610
608,628,628,628
624,642,642,644
640,656,656,656
656,670,670,670
672,682,681,684
688,700,700,703
704,717,717,717
720,731,731,731
736,745,744,748
752,762,762,762
768,777,777,777
784,790,790,790
800,805,805,805
816,822,822,822
832,838,838,838
848,852,852,852
864,865,865,865
880,884,884,884
896,901,897,898
912,913,913,913
928,934,927,932
944,945,945,945
960,960,960,960
976,977,977,977
992,989,989,989
1008,1005,1005,1005
1023,1019,1019,1019
