0,0,0,0
16,14,14,14
32,33,33,33
48,47,47,47
64,65,65,65
80,80,80,80
96,99,99,99
112,112,112,112
128,126,126,126
144,141,141,141
160,157,157,157
176,177,177,177
192,190,190,190
208,205,205,205
224,223,223,223
240,238,238,238
256,256,256,256
272,270,270,270
288,286,286,286
304,302,302,302
320,316,316,316
336,335,335,335
352,349,349,349
368,365,365,365
384,382,382,382
400,399,399,399
416,411,411,411
432,432,432,432
448,446,446,446
464,461,461,461
480,475,475,475
496,493,493,493
512,511,511,511
528,526,526,526
544,542,542,542
560,556,556,556
576,572,572,572
592,589,589,589
608,606,606,606
624,618,618,618
640,637,637,637
656,654,654,654
672,668,668,668
688,684,684,684
704,700,700,700
720,718,718,718
736,733,733,733
752,749,749,749
768,762,762,762
784,777,777,777
800,797,797,797
816,811,811,811
832,828,828,828
848,846,846,846
864,861,861,861
880,877,877,877
896,892,892,892
912,909,909,909
928,923,923,923
944,940,940,940
960,954,954,954
976,973,973,973
992,986,986,986
1008,1005,1005,1005
1023,1018,1018,1018
