0,154,154,154
16,151,151,151
32,150,150,150
48,154,154,154
64,154,154,154
80,154,154,154
96,163,163,163
112,168,168,168
128,172,172,172
144,184,184,184
160,191,191,191
176,205,205,205
192,214,214,214
208,225,225,225
224,237,237,237
240,248,248,248
256,264,264,264
272,278,278,278
288,293,293,293
304,306,306,306
320,321,321,321
336,336,336,336
352,350,350,350
368,364,364,364
384,382,382,382
400,400,400,400
416,414,414,414
432,432,432,432
448,447,447,447
464,464,464,464
480,476,476,476
496,492,492,492
512,493,493,493
528,498,498,498
544,493,493,493
560,498,498,498
576,496,496,496
592,496,496,496
608,500,500,500
624,494,494,494
640,496,496,496
656,497,497,497
672,496,496,496
688,494,494,494
704,498,498,498
720,496,496,496
736,496,496,496
752,498,498,498
768,494,494,494
784,492,492,492
800,492,492,492
816,497,497,497
832,497,497,497
848,497,497,497
864,497,497,497
880,497,497,497
896,499,499,499
912,498,498,498
928,498,498,498
944,493,493,493
960,497,497,497
976,497,497,497
992,497,497,497
1008,494,494,494
1023,492,492,492
