0,33,33,33
16,37,37,37
32,51,51,51
48,60,60,60
64,74,74,74
80,88,88,88
96,102,102,102
112,116,116,116
128,130,130,130
144,144,144,144
160,158,158,158
176,177,177,177
192,191,191,191
208,205,205,205
224,219,219,219
240,237,237,237
256,251,251,251
272,265,265,265
288,284,284,284
304,298,298,298
320,312,312,312
336,326,326,326
352,344,344,344
368,358,358,358
384,372,372,372
400,391,391,391
416,405,405,405
432,423,423,423
448,437,437,437
464,456,456,456
480,470,470,470
496,489,489,489
512,503,503,503
528,517,517,517
544,535,535,535
560,549,549,549
576,568,568,568
592,582,582,582
608,600,600,600
624,614,614,614
640,624,624,624
656,642,642,642
672,656,656,656
688,675,675,675
704,689,689,689
720,703,703,703
736,707,707,707
752,717,717,717
768,721,721,721
784,726,726,726
800,735,735,735
816,740,740,740
832,745,745,745
848,745,745,745
864,749,749,749
880,749,749,749
896,754,754,754
912,754,754,754
928,754,754,754
944,754,754,754
960,754,754,754
976,754,754,754
992,754,754,754
1008,754,754,754
1023,754,754,754
