0,0,0,0
16,17,17,17
32,33,33,33
48,47,47,47
64,65,65,65
80,79,79,79
96,95,95,95
112,112,112,112
128,126,126,126
144,144,144,144
160,158,158,158
176,177,177,177
192,191,191,191
208,205,205,205
224,223,223,223
240,237,237,237
256,256,256,256
272,270,270,270
288,289,289,289
304,302,302,302
320,316,316,316
336,335,335,335
352,348,348,348
368,364,364,364
384,382,382,382
400,399,399,399
416,414,414,414
432,428,428,428
448,447,447,447
464,461,461,461
480,476,476,476
496,493,493,493
512,507,507,507
528,525,525,525
544,540,540,540
560,557,557,557
576,572,572,572
592,586,586,586
608,605,605,605
624,619,619,619
640,634,634,634
656,651,651,651
672,665,665,665
688,686,683,684
704,698,698,698
720,717,717,717
736,731,731,731
752,745,745,745
768,763,763,763
784,777,777,777
800,798,798,798
816,810,810,810
832,824,824,824
848,842,842,842
864,856,856,856
880,876,876,876
896,889,889,889
912,906,906,906
928,921,921,921
944,930,938,935
960,954,954,954
976,968,968,968
992,982,982,982
1008,1000,1000,1000
1023,1014,1014,1014
