0,0,0,0
16,9,9,9
32,28,28,28
48,47,47,47
64,60,60,60
80,74,74,74
96,93,93,93
112,107,107,107
128,121,121,121
144,135,135,135
160,154,154,154
176,168,168,168
192,186,186,186
208,200,200,200
224,214,214,214
240,233,233,233
256,247,247,247
272,261,261,261
288,279,279,279
304,293,293,293
320,307,307,307
336,326,326,326
352,340,340,340
368,354,354,354
384,372,372,372
400,386,386,386
416,400,400,400
432,419,419,419
448,434,434,434
464,451,451,451
480,465,465,465
496,479,479,479
512,498,498,498
528,512,512,512
544,530,530,530
560,544,544,544
576,558,558,558
592,577,577,577
608,591,591,591
624,605,605,605
640,624,624,624
656,637,637,637
672,656,656,656
688,670,670,670
704,684,684,684
720,703,703,703
736,717,717,717
752,735,735,735
768,749,749,749
784,763,763,763
800,782,782,782
816,796,796,796
832,814,814,814
848,828,828,828
864,847,847,847
880,861,861,861
896,875,875,875
912,893,893,893
928,907,907,907
944,926,926,926
960,940,940,940
976,959,959,959
992,973,973,973
1008,986,986,986
1023,1005,1005,1005
