0,0,0,0
16,14,14,14
32,33,33,33
48,47,47,47
64,65,65,65
80,79,79,79
96,98,98,98
112,112,112,112
128,126,126,126
144,144,144,144
160,158,158,158
176,177,177,177
192,191,191,191
208,209,209,209
224,223,223,223
240,242,242,242
256,256,256,256
272,270,270,270
288,289,289,289
304,302,302,302
320,321,321,321
336,335,335,335
352,354,354,354
368,368,368,368
384,382,382,382
400,400,400,400
416,414,414,414
432,433,433,433
448,447,447,447
464,465,465,465
480,479,479,479
496,498,498,498
512,512,512,512
528,526,526,526
544,544,544,544
560,558,558,558
576,577,577,577
592,591,591,591
608,610,610,610
624,624,624,624
640,636,636,636
656,656,656,656
672,670,670,670
688,689,689,689
704,701,701,701
720,721,721,721
736,735,735,735
752,749,749,749
768,768,768,768
784,782,782,782
800,800,800,800
816,814,814,814
832,833,833,833
848,847,847,847
864,865,865,865
880,879,879,879
896,893,893,893
912,912,912,912
928,926,926,926
944,945,945,945
960,959,959,959
976,977,977,977
992,991,991,991
1008,1005,1005,1005
1023,1023,1023,1023
